// Quiz 01 — HTML & Basic CSS (Question Bank 2 for Pools)

NewQuestion,MC,,,
ID,WRIT40363-B2-001,,,
Title,Supplementary content element,,,
QuestionText,Which element wraps supplementary content related to the main content?,,,
Points,0,,,
Difficulty,1,,,
Option,100,<aside>,,
Option,0,<footer>,,
Option,0,<section>,,
Option,0,<article>,,
Hint,Think tangential content such as callouts or sidebars.,,,
Feedback,<aside> is for tangentially related content; it complements the main content.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-002,,,
Title,Navigation element,,,
QuestionText,Which element best represents a set of site navigation links?,,,
Points,0,,,
Difficulty,1,,,
Option,100,<nav>,,
Option,0,<aside>,,
Option,0,<footer>,,
Option,0,<section>,,
Hint,Look for the semantic element intended for navigation.,,,
Feedback,Use <nav> for primary navigation blocks.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-003,,,
Title,Accessible link text,,,
QuestionText,Choose the most accessible and descriptive link text:,,,
Points,0,,,
Difficulty,1,,,
Option,0,Click here,,
Option,0,Read more,,
Option,100,Download the WRIT40363 syllabus (PDF),,
Option,0,http://example.com,,
Hint,Link text should make sense out of context.,,,
Feedback,Descriptive link text helps all users and screen readers.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-004,,,
Title,Internal link to another page,,,
QuestionText,Which HTML links to the heading with id="contact" on about.html?,,,
Points,0,,,
Difficulty,1,,,
Option,0,<a href="#contact">Contact</a>,,
Option,100,<a href="about.html#contact">Contact</a>,,
Option,0,<a href="/#contact">Contact</a>,,
Option,0,<a id="about.html#contact">Contact</a>,,
Hint,Include the target file and the fragment.,,,
Feedback,Use filename plus #id to target a section on another page.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-005,,,
Title,Figure with caption,,,
QuestionText,Which markup correctly associates an image with a caption?,,,
Points,0,,,
Difficulty,1,,,
Option,100,<figure><img src="image.jpg" alt="..."><figcaption>Caption</figcaption></figure>,,
Option,0,<figcaption><img src="image.jpg"></figcaption>,,
Option,0,<figure><figcaption>Caption</figcaption></figure><img src="image.jpg">,,
Option,0,<img src="image.jpg"><figcaption>Caption</figcaption>,,
Hint,Caption should be inside the figure element.,,,
Feedback,Place <img> and <figcaption> together inside <figure>.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-006,,,
Title,Alt text principle,,,
QuestionText,Which statement about alt text is correct?,,,
Points,0,,,
Difficulty,1,,,
Option,100,Keep it brief and convey the image’s purpose,,
Option,0,Always start with "Image of ...",,
Option,0,Leave alt empty for informative images,,
Option,0,Copy the caption into alt text,,
Hint,Focus on meaning, not appearance.,,,
Feedback,Good alt text communicates purpose succinctly.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-007,,,
Title,Center a container,,,
QuestionText,Which CSS centers a fixed-width block container horizontally?,,,
Points,0,,,
Difficulty,1,,,
Option,100,margin: 0 auto;,,
Option,0,text-align: center;,,
Option,0,align-items: center;,,
Option,0,left: 50%;,,
Hint,Applies to the container box itself.,,,
Feedback,margin: 0 auto; centers a block with a defined width.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-008,,,
Title,Comfortable reading width,,,
QuestionText,Which CSS helps maintain comfortable line length for text paragraphs?,,,
Points,0,,,
Difficulty,1,,,
Option,100,max-width: 70ch;,,
Option,0,width: 100vw;,,
Option,0,max-width: 2000px;,,
Option,0,width: auto;,,
Hint,Use a character-based max-width.,,,
Feedback,70ch is a common starting point for readable line length.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-009,,,
Title,Reset margins,,,
QuestionText,Which rule removes default margins and padding from both html and body?,,,
Points,0,,,
Difficulty,1,,,
Option,100,html, body { margin: 0; padding: 0; },,
Option,0,body { margin: auto; },,
Option,0,* { border: 0; },,
Option,0,html { padding: 0 auto; },,
Hint,Target both root and body elements.,,,
Feedback,Setting both to margin:0; padding:0; is a common reset.,,,

NewQuestion,MC,,,
ID,WRIT40363-B2-010,,,
Title,Direct child list items,,,
QuestionText,Which selector targets only direct list items inside a nav’s top-level list?,,,
Points,0,,,
Difficulty,2,,,
Option,100,nav > ul > li,,
Option,0,nav li,,
Option,0,.nav > li,,
Option,0,nav + li,,
Hint,Use the child combinator.,,,
Feedback,The > combinator selects direct children only.,,,

NewQuestion,TF,,,
ID,WRIT40363-B2-011,,,
Title,Main element count,,,
QuestionText,The <main> element should appear only once per page.,,,
Points,0,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
Hint,There is one dominant main content area.,,,
Feedback,<main> is intended for the primary content region.,,,

NewQuestion,TF,,,
ID,WRIT40363-B2-012,,,
Title,Viewport meta,,,
QuestionText,The meta viewport tag helps pages render well on mobile devices.,,,
Points,0,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
Hint,Think responsive layout.,,,
Feedback,Viewport meta controls layout width and scaling on mobile.,,,

NewQuestion,TF,,,
ID,WRIT40363-B2-013,,,
Title,Aside usage,,,
QuestionText,The <aside> element is appropriate for tangential info like callouts or sidebars.,,,
Points,0,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
Hint,Supplementary content.,,,
Feedback,Aside holds content related but not central to the main flow.,,,

NewQuestion,TF,,,
ID,WRIT40363-B2-014,,,
Title,Section and headings,,,
QuestionText,Use <section> primarily when content can be grouped under a heading.,,,
Points,0,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
Hint,Sections should be semantically meaningful.,,,
Feedback,Best practice: each section has a heading.,,,

